,loss,accuracy,binary_accuracy,dice_score,io_u,binary_io_u,val_loss,val_accuracy,val_binary_accuracy,val_dice_score,val_io_u,val_binary_io_u
316,0.07453735172748566,0.9360429644584656,0.9360429644584656,0.9256086349487305,0.45070400834083557,0.8634907007217407,0.06393690407276154,0.948333203792572,0.948333203792572,0.9354803562164307,0.02142396941781044,0.8870484828948975
317,0.07083430141210556,0.9391285181045532,0.9391285181045532,0.9291383624076843,0.4771186113357544,0.8693517446517944,0.0651363804936409,0.9470367431640625,0.9470367431640625,0.9343013763427734,0.02590738609433174,0.8849074244499207
318,0.06912285089492798,0.9426593780517578,0.9426593780517578,0.9305232167243958,0.4198182225227356,0.8726549744606018,0.07178529351949692,0.939636766910553,0.939636766910553,0.9277794361114502,0.03259821608662605,0.8730199933052063
319,0.07112352550029755,0.9378589391708374,0.9378589391708374,0.9305620193481445,0.5146324038505554,0.8685581684112549,0.06296540796756744,0.9497454166412354,0.9497454166412354,0.9363987445831299,0.019281232729554176,0.888784646987915
320,0.07124972343444824,0.9411746859550476,0.9411746859550476,0.9302446246147156,0.3903634548187256,0.8695591688156128,0.08048568665981293,0.9308176636695862,0.9308176636695862,0.9191206693649292,0.03205672279000282,0.8582425713539124
321,0.0710771232843399,0.9381656646728516,0.9381656646728516,0.9280829429626465,0.4807237684726715,0.8690320253372192,0.0626477524638176,0.9497289061546326,0.9497289061546326,0.9368149042129517,0.019267935305833817,0.8897678852081299
322,0.06617166846990585,0.9444378018379211,0.9444378018379211,0.9338439106941223,0.4134862422943115,0.8778673410415649,0.076177217066288,0.935876727104187,0.935876727104187,0.9234389066696167,0.025473641231656075,0.8663603067398071
323,0.06382739543914795,0.9459779858589172,0.9459779858589172,0.9368956685066223,0.4228305518627167,0.8826416730880737,0.06749851256608963,0.9448832273483276,0.9448832273483276,0.9319427013397217,0.017837289720773697,0.8813786506652832
324,0.06426521390676498,0.9451360702514648,0.9451360702514648,0.936154305934906,0.4304203987121582,0.8808062672615051,0.07629366219043732,0.9352834224700928,0.9352834224700928,0.923149585723877,0.023459743708372116,0.865429162979126
325,0.06710124015808105,0.9434471130371094,0.9434471130371094,0.9314332008361816,0.4062243402004242,0.8762097954750061,0.06867077946662903,0.942950963973999,0.942950963973999,0.9307409524917603,0.019472576677799225,0.878281831741333
