               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.01886,           0.0090566,                   0,             0.99341,             0.99123,             0.99493,             0.68258,            0.021248,           0.0059428,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.019117,           0.0087929,                   0,             0.99779,             0.98904,             0.99062,             0.68841,            0.020515,           0.0059237,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.019605,           0.0089942,                   0,             0.99339,             0.98904,              0.9892,             0.69471,            0.019762,           0.0060928,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.019102,           0.0089583,                   0,             0.99561,             0.99561,             0.99435,             0.69356,            0.019894,           0.0059187,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.019727,           0.0088303,                   0,             0.99338,             0.98684,              0.9886,             0.70877,            0.019462,           0.0060958,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.018803,            0.008851,                   0,             0.99121,             0.98904,             0.99036,             0.67073,            0.021649,            0.006423,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.018468,             0.00879,                   0,             0.99117,             0.99123,             0.99314,             0.69138,            0.020606,           0.0062253,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.018069,           0.0087595,                   0,             0.99338,             0.98904,             0.99158,             0.69247,            0.020267,           0.0060032,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.018241,            0.008346,                   0,             0.99339,             0.98903,             0.98689,              0.6911,            0.019907,           0.0060471,                   0,            0.008515,            0.008515,            0.008515
                  47,             0.01833,           0.0084437,                   0,             0.99336,             0.98904,             0.99333,             0.68457,            0.019798,           0.0061725,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.018948,           0.0087411,                   0,             0.99558,             0.98684,             0.99375,             0.68768,            0.020006,           0.0060225,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.018611,           0.0085207,                   0,             0.99339,             0.98904,              0.9893,             0.69682,            0.019612,           0.0061622,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.018222,           0.0086201,                   0,             0.99559,             0.99123,             0.99476,             0.67725,            0.019958,           0.0060148,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.018162,           0.0082322,                   0,             0.99121,             0.98903,             0.99279,             0.70192,            0.019944,           0.0060112,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.018108,           0.0085343,                   0,             0.99559,             0.99123,             0.99312,             0.69796,            0.019205,           0.0057837,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.017669,           0.0085426,                   0,             0.99559,             0.99122,             0.99434,             0.69453,            0.020362,           0.0061868,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.017747,           0.0084419,                   0,             0.99118,             0.98684,             0.98884,             0.70163,            0.019743,           0.0060458,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.016964,           0.0084696,                   0,             0.99338,             0.98684,             0.98676,             0.69124,            0.019865,           0.0064343,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.017305,           0.0086073,                   0,             0.99559,             0.99123,             0.99467,             0.69145,            0.020146,           0.0061822,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.017271,           0.0084058,                   0,             0.99558,             0.98904,             0.99035,             0.70236,            0.019409,           0.0061648,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.016764,           0.0080778,                   0,             0.99339,             0.98903,             0.98874,             0.69628,            0.019903,           0.0060036,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.017206,           0.0082271,                   0,             0.99558,             0.98903,             0.99064,             0.69546,            0.019651,             0.00625,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.016666,           0.0083525,                   0,             0.99336,             0.98465,             0.98809,             0.67073,            0.020522,           0.0062316,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.016892,           0.0080853,                   0,             0.99546,             0.96267,              0.9773,             0.66311,             0.02189,           0.0070034,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.016876,           0.0082261,                   0,             0.99336,             0.98464,             0.98516,             0.69557,            0.020214,           0.0064453,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.017042,           0.0081552,                   0,             0.99558,             0.98903,             0.98727,              0.6722,            0.021336,           0.0065423,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.016272,           0.0078464,                   0,              0.9934,             0.99123,             0.99469,             0.69729,            0.020384,           0.0060186,                   0,            0.007921,            0.007921,            0.007921
                  65,             0.01649,            0.007968,                   0,             0.99559,             0.99123,             0.99491,             0.70999,            0.019574,           0.0060895,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.016015,           0.0078154,                   0,             0.99339,             0.98904,             0.98916,             0.70249,            0.020558,           0.0063156,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.015995,           0.0079225,                   0,             0.99559,             0.99559,             0.99491,             0.68853,            0.019497,           0.0062279,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.016541,            0.007909,                   0,             0.99341,             0.99559,             0.99427,             0.71035,            0.019312,            0.006067,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.015694,           0.0079738,                   0,             0.99558,             0.98903,             0.99079,             0.69609,             0.01971,           0.0061698,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.015907,           0.0079492,                   0,              0.9912,             0.99559,             0.99487,             0.69857,            0.019742,            0.006477,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.015702,           0.0077641,                   0,                   1,             0.98464,             0.98693,             0.69425,            0.019235,           0.0063929,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.015556,            0.007903,                   0,             0.99341,             0.99122,             0.99482,             0.69975,            0.019095,           0.0060705,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.016453,            0.007828,                   0,             0.99558,             0.98903,             0.99072,             0.69329,            0.020214,           0.0063448,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.015248,           0.0078963,                   0,             0.99559,                   1,             0.99496,             0.70504,            0.019498,           0.0061578,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.015699,           0.0078832,                   0,             0.99559,             0.99559,             0.99489,             0.70788,            0.019435,           0.0064581,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.015715,           0.0078344,                   0,             0.99779,             0.99123,              0.9948,             0.70729,            0.019398,           0.0063253,                   0,            0.007525,            0.007525,            0.007525
                  77,             0.01561,           0.0075846,                   0,             0.99559,             0.99123,             0.99489,             0.68754,            0.019978,           0.0060912,                   0,            0.007492,            0.007492,            0.007492
